1,2,27
1,3,10
1,4,6
1,7,2
1,9,1
1,10,228
1,12,1
1,13,12
1,16,16
1,18,8
1,21,4
1,23,5
1,24,9
1,27,4
1,30,227
1,31,17
1,32,47
1,38,22
1,40,8
1,41,12
1,42,10
1,44,2
1,47,1
1,53,1
1,54,16
1,58,116
1,61,1
1,62,2
1,63,65
1,66,13
1,68,1
1,69,29
1,70,7
1,73,3
1,75,7
1,77,1
1,79,3
1,84,6
1,86,4
1,87,16
1,88,19
1,92,4
1,93,27
1,96,33
1,97,1
1,98,8
1,99,1
1,100,11
1,101,10
1,103,1
1,104,30
1,106,2
1,108,4
1,109,181
1,111,75
1,112,19
1,113,1
1,114,4
1,115,1
1,117,12
1,118,25
1,119,1
1,121,9
1,122,20
1,123,32
1,124,13
1,125,188
1,126,28
1,127,226
1,128,17
1,129,29
1,130,180
1,131,37
1,132,27
1,133,37
1,134,2
1,135,15
1,136,114
1,137,3
1,139,3
1,140,13
1,141,1
1,144,2
1,146,1
1,148,1
1,151,2
1,160,1
1,166,4
2,3,21
2,4,9
2,5,1
2,10,5
2,11,248
2,13,8
2,18,4
2,23,1
2,24,1
2,27,59
2,30,24
2,32,41
2,35,1
2,38,1
2,41,2
2,42,2
2,43,1
2,46,390
2,48,44
2,50,4
2,54,1
2,58,6
2,61,60
2,63,21
2,64,159
2,66,2
2,69,1
2,72,247
2,73,1
2,79,64
2,80,48
2,86,140
2,87,54
2,88,404
2,89,526
2,90,37
2,91,243
2,92,43
2,93,51
2,94,43
2,95,206
2,96,14
2,98,23
2,101,5
2,102,9
2,103,19
2,104,27
2,105,291
2,106,200
2,107,30
2,108,257
2,109,24
2,110,33
2,111,30
2,112,290
2,113,62
2,115,33
2,116,40
2,117,119
2,118,275
2,119,19
2,120,318
2,121,1
2,122,11
2,123,5
2,124,14
2,125,12
2,128,27
2,129,14
2,130,20
2,131,21
2,132,17
2,134,321
2,135,274
2,136,7
2,137,68
2,138,79
2,139,2
2,140,85
2,150,1
2,153,2
2,160,1
2,165,1
2,166,1
2,167,1
3,4,10
3,5,4
3,6,1
3,7,3
3,10,292
3,11,1
3,13,9
3,16,6
3,18,10
3,20,1
3,21,3
3,23,4
3,24,7
3,27,1
3,30,148
3,31,4
3,32,85
3,34,2
3,35,1
3,36,1
3,38,7
3,41,7
3,42,15
3,45,2
3,46,4
3,47,1
3,50,87
3,51,1
3,52,3
3,53,1
3,54,12
3,58,91
3,61,5
3,62,2
3,63,221
3,66,6
3,67,4
3,69,6
3,70,5
3,73,2
3,75,7
3,76,1
3,77,2
3,79,5
3,80,1
3,82,1
3,83,1
3,84,5
3,86,5
3,87,13
3,88,4
3,89,1
3,91,5
3,92,1
3,93,7
3,96,23
3,97,7
3,98,92
3,99,2
3,100,80
3,101,4
3,102,9
3,103,17
3,104,12
3,106,3
3,107,5
3,108,6
3,109,237
3,110,3
3,111,29
3,112,4
3,113,2
3,114,83
3,115,2
3,116,1
3,117,16
3,118,28
3,121,62
3,122,7
3,123,2
3,124,20
3,125,271
3,126,30
3,127,323
3,128,182
3,129,36
3,130,336
3,131,29
3,132,19
3,133,38
3,134,2
3,135,17
3,136,290
3,137,4
3,139,4
3,140,11
3,144,2
3,146,2
3,148,1
3,149,1
3,150,1
3,151,2
3,153,6
